sex2,edu1,edu2,sibsex,occj,medu1,safa,urban,jieduan,match1
1,1,1,1,2,1,-2.312923,0,0,1
2,1,1,1,1,1,-3.059677,0,2,1
1,1,1,1,1,1,0.4045004,0,0,1
2,1,1,1,1,1,-0.3531435,0,0,1
1,1,1,1,2,1,0.3990917,1,0,1
2,1,1,1,1,1,-2.569614,0,0,1
2,1,1,1,1,1,1.279111,0,0,1
1,1,1,2,1,1,-1.175676,0,2,1
1,1,1,2,2,1,-2.087956,0,0,1
1,1,1,1,1,1,-0.1452584,0,2,1
2,1,1,1,2,1,-3.410019,0,2,1
1,1,1,2,2,1,1.088093,0,2,1
2,2,1,0,,2,-5.247069,1,2,1
1,1,1,1,2,1,1.097856,0,0,1
2,1,1,0,1,3,-6.186303,0,0,0
1,1,1,2,1,1,-1.328083,0,0,1
1,2,1,2,4,2,-6.418665,0,2,1
2,1,1,1,1,1,1.805908,0,0,1
1,1,1,2,1,1,-1.466172,0,0,1
1,1,1,2,1,1,1.181463,0,0,1
2,1,1,2,1,1,-2.010652,0,0,1
1,1,1,0,,1,-0.3969829,0,2,1
2,1,1,0,2,3,-4.537854,1,0,0
2,1,1,2,1,1,-0.4705234,0,0,1
2,1,1,1,1,1,-0.9667617,1,0,1
1,1,1,1,1,1,-0.6118739,0,2,1
1,1,1,1,1,1,-2.056231,0,0,1
1,1,1,1,1,1,-5.033951,0,0,1
2,1,1,1,1,1,0.7129529,1,0,1
1,1,1,1,1,1,2.561037,0,0,1
2,3,1,1,3,1,-11.01812,0,0,0
1,2,1,2,,1,-7.656291,0,2,0
1,2,1,2,2,1,-0.7470694,0,2,0
1,3,1,0,1,1,-4.419078,0,2,0
1,1,1,0,1,1,-6.181748,0,0,1
1,1,1,1,1,1,-5.38281,0,0,1
1,1,1,2,1,1,-1.275101,0,0,1
2,1,1,1,1,1,-3.164199,0,0,1
2,2,1,2,2,1,-2.957587,1,0,0
1,1,1,1,3,1,3.848801,1,0,1
1,1,1,1,4,1,-8.500854,1,0,1
1,1,1,1,1,1,-7.745921,0,0,1
1,1,1,0,2,1,-1.658895,0,0,1
2,1,1,1,1,1,-5.122944,0,0,1
1,2,1,1,1,1,-4.461672,0,0,0
1,3,1,0,2,2,-6.552174,1,2,0
2,1,1,1,1,1,0.7063813,0,2,1
2,1,1,2,2,1,-3.123239,0,0,1
2,1,1,1,1,1,0.9565325,0,2,1
2,1,1,1,1,1,-1.558538,0,0,1
2,1,1,1,1,1,-2.43792,0,2,1
2,1,1,1,,1,-7.131546,0,0,1
1,1,1,2,1,1,4.073885,0,0,1
1,3,1,2,1,1,-4.536156,0,0,0
1,1,1,1,1,1,0.705843,0,0,1
1,3,1,2,4,3,-15.25196,1,0,1
2,1,1,1,1,1,-2.447275,0,0,1
1,2,1,1,1,1,-4.196312,0,2,0
2,1,1,1,1,1,-3.782601,0,0,1
1,1,1,1,1,1,-5.01948,0,0,1
1,1,1,1,1,1,0.4487238,0,2,1
1,1,1,2,1,1,0.9622331,0,0,1
2,1,1,2,1,1,-4.601797,0,0,1
2,1,1,2,1,1,-2.896388,0,0,1
1,1,1,1,1,1,-5.196454,0,0,1
2,1,1,1,1,1,-2.911919,0,0,1
1,1,1,0,1,1,3.444689,0,0,1
1,1,1,0,2,2,-1.426783,0,2,0
2,1,1,1,2,1,-0.4608066,0,0,1
2,1,1,1,1,1,-0.8763125,0,0,1
1,1,1,1,2,1,-2.077146,0,0,1
2,1,1,2,2,1,-1.264855,0,0,1
2,2,1,1,1,1,-7.576663,0,0,0
2,1,1,2,1,1,-1.382432,0,0,1
1,1,1,2,1,1,0.2349213,0,0,1
2,1,1,2,1,1,-4.759974,0,0,1
2,1,1,0,,1,-4.014394,0,1,1
2,1,1,2,1,1,-0.1608853,0,0,1
1,1,1,1,,1,-4.476252,1,0,1
2,1,1,1,1,1,-1.223979,0,0,1
2,1,1,2,1,1,0.0169623,0,0,1
2,1,1,1,1,1,0.3265584,0,0,1
1,2,1,2,1,1,-4.721629,0,0,0
1,1,1,1,1,1,-3.119835,0,2,1
2,1,1,1,1,1,-1.344445,0,0,1
1,1,1,0,1,1,0.9910077,0,1,1
1,1,1,0,1,1,-0.329007,0,0,1
2,1,1,2,1,1,-1.847466,0,2,1
2,1,1,2,1,1,0.0073123,0,0,1
2,1,1,1,1,1,-2.51323,0,0,1
1,1,1,1,1,1,1.610124,0,0,1
1,1,1,1,1,1,0.4590931,0,0,1
1,1,1,2,1,1,-0.7693509,0,0,1
2,1,1,1,1,1,2.960238,0,0,1
2,3,1,2,1,1,-4.997453,0,0,0
2,1,1,0,1,1,-3.413201,0,0,1
1,1,1,2,1,1,-0.8088889,0,0,1
2,2,1,1,2,1,-4.598502,0,0,0
1,1,1,1,1,1,-1.499616,0,0,1
1,1,1,1,,1,1.0463,0,0,1
1,2,1,2,1,1,-4.694393,0,0,0
1,1,1,0,1,1,-1.378473,0,0,1
2,1,1,1,1,1,-3.631546,0,0,1
1,1,1,2,1,1,-4.667924,0,0,1
2,3,1,0,,3,-10.83339,1,2,1
2,1,1,2,1,1,-2.244388,0,0,1
1,1,1,2,1,1,-2.480823,0,0,1
1,2,1,1,1,1,-4.851567,0,0,0
1,1,1,2,1,1,-8.295118,0,0,1
1,1,1,1,1,1,1.551724,0,0,1
2,1,1,1,1,1,0.2157681,0,0,1
2,1,1,2,1,1,-4.656012,0,0,1
1,1,1,2,1,1,0.0693457,0,0,1
2,2,1,2,1,1,-10.283,0,0,0
2,2,1,1,1,1,-2.889748,0,0,0
1,1,1,1,1,1,2.595402,0,0,1
1,3,1,1,1,1,-6.536156,0,0,0
2,1,1,1,1,1,-5.137033,0,0,1
2,2,1,2,2,1,-4.142686,0,0,0
1,1,1,2,1,1,0.420233,0,0,1
1,1,1,1,1,2,-5.596083,0,0,0
2,1,1,1,,1,2.150139,0,0,1
1,1,1,0,1,1,-0.7439339,0,0,1
2,3,1,0,4,2,-6.455958,1,2,0
1,1,1,1,1,1,-3.800721,0,0,1
2,2,1,0,1,1,-3.564328,0,0,0
1,1,1,0,2,1,-0.1814582,1,0,1
2,1,1,1,1,1,-3.033942,0,0,1
1,1,1,1,1,1,2.298522,0,0,1
1,1,1,2,1,1,1.165157,0,0,1
2,2,1,1,1,1,-3.815498,0,0,0
2,1,1,1,1,1,1.343591,0,0,1
1,1,1,1,2,1,2.028059,0,0,1
2,1,1,1,1,1,3.028964,0,0,1
1,1,1,0,1,1,-3.511271,0,1,1
2,1,1,2,1,1,-0.145494,0,0,1
2,2,1,2,3,1,-10.45084,0,0,0
1,2,1,1,1,1,-2.763067,0,2,0
1,1,1,1,1,1,-3.426507,0,0,1
2,1,1,1,1,1,-5.421616,0,2,1
2,1,1,1,2,1,-0.2628207,0,0,1
2,1,1,1,2,1,-1.321496,1,0,1
2,3,1,1,2,1,-5.662787,0,2,0
2,1,1,1,1,1,-0.4037006,0,0,1
1,1,1,1,1,1,1.0463,0,0,1
2,1,1,2,1,1,-0.5483334,0,0,1
2,2,1,2,1,1,-5.253276,0,0,0
1,1,1,2,1,1,-1.236149,0,0,1
2,1,1,1,1,1,-3.048299,0,0,1
1,1,1,2,1,1,-2.107157,0,2,1
2,2,1,1,2,2,-5.042761,0,2,1
2,1,1,2,1,1,-1.526246,0,2,1
2,2,1,1,1,1,-3.870174,0,0,0
1,3,1,0,,3,-16.52345,0,0,1
2,1,1,2,1,1,-0.3879097,0,0,1
1,1,1,2,1,1,-3.547278,0,2,1
1,1,1,1,,1,-3.795676,0,0,1
1,1,1,0,1,1,2.63004,0,0,1
1,5,1,0,,3,-13.04092,1,0,0
1,5,1,2,2,2,-8.891445,1,2,0
1,1,1,0,1,1,-2.686904,0,1,1
1,1,1,1,1,1,-5.064328,0,0,1
2,1,1,1,1,1,-1.666963,0,0,1
2,1,1,1,1,1,-0.5132103,0,2,1
1,1,1,1,1,1,-0.101392,0,0,1
1,1,1,0,1,1,2.026012,0,0,1
1,1,1,1,1,1,0.8320441,0,2,1
2,1,1,1,1,1,1.664924,0,0,1
1,2,1,1,1,1,-4.650606,0,0,0
1,3,1,2,1,1,-3.565414,0,2,0
2,1,1,1,1,1,-4.720889,0,0,1
1,1,1,0,,1,0.1720854,0,0,1
1,1,1,0,,1,-6.98453,0,0,1
2,1,1,1,1,1,-6.160885,0,0,1
1,1,1,1,1,1,-1.513956,0,0,1
2,1,1,1,1,1,-2.092058,0,0,1
1,1,1,1,1,1,-1.353498,0,0,1
2,1,1,1,1,1,-6.202469,0,0,1
1,2,1,1,,1,-3.363865,1,0,0
2,1,1,1,1,1,1.038765,0,0,1
1,1,1,1,1,1,-1.076833,0,0,1
2,1,1,1,1,1,-3.235753,0,0,1
1,1,1,2,2,1,-5.175131,1,0,1
2,2,1,2,2,1,-3.136899,0,0,0
2,1,1,1,1,1,-4.192367,0,0,1
1,2,1,0,1,1,-5.243433,0,0,0
1,1,1,1,1,1,-2.800651,0,0,1
1,1,1,2,1,1,-2.213461,0,0,1
2,1,1,1,,1,-3.295118,0,0,1
2,1,1,0,1,1,-4.313472,0,0,1
2,1,1,2,2,1,-1.720841,0,0,1
1,1,1,2,1,1,0.6365466,0,0,1
1,1,1,1,2,1,-0.2488112,0,2,1
2,1,1,1,1,1,-1.147637,0,0,1
2,1,1,1,1,1,-3.355483,0,0,1
2,2,1,2,3,1,-6.925392,0,0,0
2,1,1,1,1,1,-4.974577,0,0,1
1,1,1,1,2,1,2.009632,0,0,1
2,1,1,1,2,1,-5.027558,0,0,1
1,1,1,1,1,1,-0.6179199,0,0,1
1,1,1,2,1,1,-1.659931,0,0,1
2,1,1,2,1,1,-4.236918,0,0,1
1,5,1,1,2,1,-7.110271,1,0,0
2,2,1,2,2,2,-8.537685,0,2,1
1,1,1,0,2,1,1.204905,0,0,1
1,3,1,0,1,1,-3.296304,0,2,0
2,1,1,1,1,1,1.081359,0,0,1
1,1,1,1,1,1,-7.882229,0,0,1
1,1,1,1,1,2,-9.21477,0,2,0
2,1,1,2,1,1,0.2437186,0,0,1
2,1,1,2,1,1,-1.321496,0,0,1
1,2,1,1,2,3,-10.83806,1,2,0
1,1,1,1,1,1,-2.441207,0,0,1
1,1,1,1,4,1,-2.295118,0,0,1
2,1,1,1,1,1,-3.164199,0,0,1
1,1,1,0,1,1,-2.834429,0,2,1
1,1,1,2,1,1,-0.7038518,0,0,1
2,1,1,2,1,1,2.880069,1,0,1
2,1,1,1,1,1,0.1141448,0,0,1
1,1,1,1,1,1,-1.37319,0,0,1
1,1,1,2,1,1,-4.268189,0,0,1
2,1,1,1,1,1,-5.394417,0,0,1
1,1,1,1,1,1,2.438646,0,0,1
1,1,1,0,2,3,-6.362781,1,2,0
2,1,1,1,1,1,-1.251544,0,0,1
2,1,1,1,1,1,-2.026474,0,0,1
2,1,1,1,1,1,0.4876897,0,0,1
1,3,1,1,1,1,-5.534092,0,0,0
1,3,1,2,4,2,-13.37328,0,0,0
2,1,1,2,1,1,1.092559,0,0,1
1,1,1,2,1,1,-4.86037,0,0,1
1,1,1,0,1,1,-0.9353459,0,0,1
1,2,1,2,1,1,-6.187099,0,0,0
1,1,1,0,1,1,-4.120482,0,0,1
1,1,1,2,,1,-2.47771,1,0,1
1,2,1,1,1,1,-3.484671,0,0,0
1,1,1,0,,1,-5.569809,0,0,1
1,1,1,1,1,1,-2.695464,0,2,1
1,2,1,1,1,1,-3.376312,0,0,0
2,1,1,1,1,1,1.797381,0,0,1
1,1,1,1,1,2,-3.113394,0,0,0
