地区,年末常住人口(万人),地方财政一般预算支出(亿元),地方财政一般预算收入(亿元),地方财政税收收入(亿元),地方财政非税收入(亿元),地区生产总值(亿元),规模以上工业企业利润总额(亿元),第二产业增加值(亿元),第三产业增加值(亿元),全体居民人均可支配收入(元),城镇居民人均可支配收入(元),农村居民人均可支配收入(元),规模以上工业企业R&D经费(万元),规模以上工业企业发明专利申请数(件),国内专利申请授权量(项),国内发明专利申请授权量(项),国内专利申请受理量(项),国内发明专利申请受理量(项),年份
重庆市,3212,4835.06,2285.45,1543.40,742.05,28077.3,2133.79,11217.3,14938.1,33803,43503,18100,4245267,7362,76206,9413,83555,24068,2021年
四川省,8372,11215.69,4773.15,3334.86,1438.29,54088.0,4546.72,19949.7,28476.2,29080,41444,17575,4801710,14847,146936,19337,163664,45358,2021年
贵州省,3852,5590.01,1969.39,1177.15,792.24,19458.6,1249.64,6850.5,9877.2,23996,39211,12856,1210567,3850,39267,2824,41733,9869,2021年
云南省,4690,6634.36,2278.29,1514.21,764.08,27161.6,1357.21,9537.2,13793.1,25666,40905,14197,1764956,2996,41167,3643,47997,10293,2021年
西藏自治区,366,2027.01,215.62,142.17,73.45,2080.2,50.10,757.3,1158.8,24950,46503,16932,24782,31,1929,184,2644,515,2021年
陕西省,3954,6069.22,2775.42,2237.04,538.39,30121.7,3710.31,14019.0,13692.9,28568,40713,14745,3196867,6708,86272,15516,105652,38643,2021年
甘肃省,2490,4032.56,1001.86,667.41,334.45,10225.5,545.33,3451.2,5409.5,22066,36187,11433,642948,1526,26056,2253,30165,6423,2021年
青海省,594,1854.52,328.76,234.73,94.04,3385.1,297.92,1364.7,1666.7,25920,37745,13604,138488,467,6591,454,7448,1585,2021年
宁夏回族自治区,725,1427.89,460.01,300.74,159.28,4588.2,458.91,2099.2,2124.4,27905,38291,15337,517577,1346,12885,1103,14579,3054,2021年
新疆维吾尔自治区,2589,5376.91,1618.61,1093.24,525.37,16311.6,1936.85,6295.9,7656.6,26075,37642,15575,541819,2008,21178,1153,22221,4395,2021年
北京市,2189,7116.18,5483.89,4643.87,840.02,35943.3,1729.55,5739.1,30095.9,69434,75602,30126,2974157,13078,162824,63266,254165,145035,2020年
天津市,1387,3151.35,1923.11,1500.14,422.97,14008.0,971.15,4911.8,8885.9,43854,47659,25691,2287717,6060,75434,5262,111514,22057,2020年
河北省,7464,9022.79,3826.46,2527.28,1299.18,36013.8,2177.78,13765.1,18368.4,27136,37286,16467,4854544,7543,92196,6365,125608,22131,2020年
山西省,3490,5110.87,2296.57,1625.99,670.58,17835.6,1086.28,7703.2,8965.8,25214,34793,13878,1561790,3059,27296,2987,40302,9472,2020年
内蒙古自治区,2403,5270.16,2051.20,1457.76,593.43,17258.0,1314.98,6908.2,8321.1,31497,41353,16567,1293714,2331,17958,1162,26224,5381,2020年
辽宁省,4255,6014.17,2655.75,1879.06,776.70,25011.4,1341.22,9357.5,13369.1,32738,40376,17450,3353222,6252,60185,7936,86527,21830,2020年
吉林省,2399,4127.17,1085.02,771.95,313.08,12256.0,573.99,4319.9,6383.1,25751,33396,16067,776448,2764,23951,3969,34438,11113,2020年
